ancine_id,tmdb_id
B0400104300000,255548
B0500444500000,28393
B0600605500000,355940
B0600623600000,229481
B0700701800000,254445
B0700707700000,329234
B0700719500000,296398
B0700745800000,241993
B0700747100000,754823
B0700792400000,252107
B0700799200000,293070
B0800953500000,84069
B0800959200000,293067
B0900969800000,254890
B0900993400000,621002
B0901022000000,255439
B0901028800000,46946
B0901034700000,139432
B0901050500000,258175
B0901101100000,618399
B0901101600000,303915
B0901120600000,264104
B0901126600000,73160
B1001160300000,45170
B1001165300000,204558
B1001167100000,359631
B1001180900000,45534
B1001191000000,216604
B1001192900000,130105
B1001193400000,165336
B1001197000000,352997
B1001205900000,237786
B1001247700000,210336
B1001257100000,618345
B1001284500000,255545
B1001288800000,279961
B1001296100000,283471
B1001298800000,74228
B1001303400000,81536
B1001312000000,249886
B1001312200000,258741
B1001314100000,618401
B1001317800000,723092
B1001321100000,48573
B1101348800000,333171
B1101362100000,156180
B1101365800000,48413
B1101377300000,140464
B1101377500000,635059
B1101379600000,230733
B1101389300000,297283
B1101397900000,128011
B1101428500000,238528
B1101438100000,186246
B1101467000000,250356
B1101473600000,251341
B1101490600000,110949
B1101493300000,275620
B1101513200000,150161
B1201544500000,268473
B1201564400000,340930
B1201571700000,179810
B1201571900000,83770
B1201574300000,235448
B1201582200000,191356
B1201590900000,230441
B1201613900000,259549
B1201614400000,267138
B1201623700000,88237
B1201627800000,243656
B1201628900000,419466
B1201629200000,247634
B1201639800000,93858
B1201643000000,339853
B1201647100000,129705
B1201652400000,151865
B1201652800000,240863
B1201659100000,243663
B1201659300000,249132
B1201659800000,213633
B1201663300000,480546
B1201671900000,348715
B1201676700000,244270
B1201696800000,267137
B1201698400000,79528
B1201709400000,178777
B1301712200000,173214
B1301712400000,127014
B1301743300000,235451
B1301751900000,84195
B1301783300000,227744
B1301794500000,170364
B1301810400000,133878
B1301816900000,227108
B1301852900000,213223
B1301869200000,241183
B1301871900000,230374
B1301872000000,230398
B1301898000000,296412
B1301935400000,199028
B1301939800000,495977
B1301944100000,304405
B1301949900000,327727
B1301981200000,169573
B1301983400000,233807
B1301996600000,127923
B1302007900000,239600
B1302033700000,327354
B1302036500000,158945
B1302041500000,152294
B1402089200000,294152
B1402089600000,366513
B1402091800000,229059
B1402098200000,187988
B1402117400000,241536
B1402117800000,280759
B1402118500000,183668
B1402131600000,268100
B1402137200000,227970
B1402144800000,300605
B1402146400000,183863
B1402156100000,328397
B1402156500000,287620
B1402173200000,299851
B1402192700000,230445
B1402202200000,290101
B1402218500000,345662
B1402254000000,310997
B1402263600000,227959
B1402280900000,447673
B1402296700000,326219
B1402296800000,464930
B1402301100000,286258
B1402307700000,299800
B1402372600000,286052
B1402446800000,248475
B1402524100000,366512
B1402543600000,287582
B1402693700000,303978
B1402740400000,405836
B1402825200000,337709
B1500014400000,328263
B1500113300000,296252
B1500149400000,338815
B1500169900000,308704
B1500189400000,299071
B1500193000000,264736
B1500224200000,337863
B1500311000000,348541
B1500315900000,364597
B1500334900000,360211
B1500408100000,360113
B1500416000000,326983
B1500464600000,360289
B1500489800000,402616
B1500496600000,427674
B1500572900000,364598
B1500575600000,299751
B1500585400000,362313
B1500636700000,360212
B1500643000000,355282
B1500711400000,362448
B1500712100000,361783
B1500723200000,360176
B1500794300000,426790
B1500801000000,352000
B1500837400000,282475
B1500843400000,348116
B1500866700000,422192
B1600012800000,428705
B1600019500000,419437
B1600041000000,441601
B1600050100000,360815
B1600052200000,709356
B1600067600000,392510
B1600116700000,381141
B1600187400000,431172
B1600193300000,447201
B1600287300000,409304
B1600332400000,417498
B1600337700000,406116
B1600341800000,401363
B1600403600000,364694
B1600412300000,420293
B1600441200000,417484
B1600502400000,377362
B1600514100000,456843
B1600520300000,418687
B1600532000000,417589
B1600543700000,413870
B1600569700000,461247
B1600625200000,417590
B1600625500000,427720
B1600639200000,420318
B1600641100000,430135
B1600660100000,461531
B1600677900000,395605
B1600685100000,417555
B1600707400000,544773
B1600714000000,409312
B1600716200000,428703
B1600725300000,409309
B1600780500000,381138
B1600785500000,494146
B1700028400000,421608
B1700090400000,417567
B1700220800000,494143
B1700249500000,408296
B1700259900000,598549
B1700275000000,458335
B1700316600000,480968
B1700316900000,460661
B1700329300000,478662
B1700332800000,638200
B1700381100000,473637
B1700406200000,532125
B1700411300000,469950
B1700435100000,453936
B1700479800000,475380
B1700497900000,481254
B1700508700000,480637
B1700509000000,459687
B1700524700000,486762
B1700541700000,481093
B1700544600000,533857
B1700546500000,480508
B1700560500000,480504
B1700571300000,555768
B1700581200000,494223
B1700581500000,492714
B1700600300000,470202
B1700602000000,602047
B1700605900000,420269
B1800029400000,615322
B1800038700000,512314
B1800044200000,556205
B1800073300000,420324
B1800090200000,480406
B1800115900000,417368
B1800131200000,263610
B1800135100000,609894
B1800193400000,527205
B1800234700000,461823
B1800235200000,523065
B1800250800000,480704
B1800287300000,540932
B1800287700000,540017
B1800311900000,538642
B1800323800000,472309
B1800362300000,568402
B1800374500000,499536
B1800387700000,545484
B1800397100000,506464
B1800423800000,630754
B1800447400000,627450
B1800502000000,539441
B1800504800000,472311
B1800517000000,555814
B1800540900000,555812
B1800556200000,555810
B1800603500000,573503
B1900034500000,588755
B1900092000000,588753
B1900210500000,618304
B1900245100000,650026
B1900314100000,621695
B1900363600000,544442
B1900415900000,466188
B1900507000000,647895
B1900511300000,631360
B1900592900000,651866
E1402315000000,121983
E1402325900000,188207
E1402337700000,218836
E1402380000000,116149
E1402401600000,64720
E1402414300000,254473
E1402414500000,157547
E1402419000000,71668
E1402424400000,221667
E1402433000000,218043
E1402433100000,265180
E1402444100000,249397
E1402479900000,7735
E1402489200000,41436
E1402505700000,223932
E1402510400000,86834
E1402513200000,266082
E1402514300000,4543
E1402548000000,139649
E1402548100000,110391
E1402548400000,279579
E1402548700000,46147
E1402548900000,286595
E1402552800000,70793
E1402566600000,225719
E1402582900000,12761
E1402583000000,43541
E1402591100000,10024
E1402595000000,12473
E1402598500000,11322
E1402601200000,127560
E1402601500000,242310
E1402602700000,138103
E1402603000000,8905
E1402623500000,64686
E1402627100000,196867
E1402631100000,86829
E1402642100000,145220
E1402650600000,107178
E1402740500000,280492
E1402763600000,186975
E1402767100000,228970
E1402771500000,58859
E1402794800000,10198
E1402805900000,72721
E1402820700000,100402
E1402824700000,534
E1402825900000,285580
E1402826000000,295926
E1500009500000,212716
E1500011100000,301703
E1500045900000,22794
E1500050300000,127445
E1500058100000,273895
E1500065400000,144752
E1500065500000,215032
E1500069100000,209350
E1500090200000,100042
E1500090300000,245916
E1500095500000,27205
E1500100400000,89008
E1500110200000,53182
E1500116000000,136582
E1500121400000,51828
E1500121500000,82525
E1500131100000,160068
E1500163300000,213983
E1500169000000,10184
E1500171800000,76617
E1500173500000,287507
E1500176700000,84309
E1500186800000,217427
E1500209600000,83686
E1500212300000,283701
E1500228700000,80035
E1500264100000,38879
E1500287700000,288620
E1500306700000,73562
E1500307200000,225250
E1500325200000,53413
E1500325300000,110401
E1500340400000,85441
E1500340500000,73532
E1500340600000,71179
E1500344700000,247788
E1500347600000,209149
E1500348100000,203912
E1500361100000,81658
E1500361500000,39936
E1500361600000,69353
E1500366900000,299245
E1500375500000,287497
E1500376800000,254200
E1500377100000,149871
E1500377200000,269148
E1500379900000,19585
E1500387600000,303857
E1500390500000,255554
E1500395700000,233429
E1500398700000,260001
E1500401800000,118204
E1500402600000,51976
E1500412300000,83542
E1500415700000,41446
E1500419500000,80271
E1500421700000,57276
E1500422200000,81167
E1500423800000,51994
E1500424100000,64690
E1500424400000,74998
E1500424800000,45612
E1500425000000,98545
E1500425700000,75802
E1500429200000,29427
E1500430500000,30431
E1500432400000,89448
E1500459000000,266030
E1500490200000,79745
E1500491100000,193613
E1500491700000,63493
E1500499000000,127864
E1500499600000,74726
E1500522000000,110323
E1500523700000,128154
E1500523800000,121835
E1500530700000,13092
E1500541300000,87389
E1500545000000,50620
E1500566800000,127913
E1500574500000,72172
E1500575500000,35411
E1500587500000,91690
E1500600000000,204082
E1500613900000,169904
E1500614300000,58653
E1500620500000,112336
E1500623800000,21755
E1500627500000,112205
E1500636800000,283700
E1500651100000,91530
E1500652800000,103758
E1500652900000,287719
E1500660600000,227738
E1500662700000,273477
E1500666600000,128104
E1500667700000,86837
E1500670000000,216440
E1500670300000,199977
E1500675600000,269
E1500676000000,110398
E1500682900000,238710
E1500684400000,266647
E1500690800000,191293
E1500692600000,68721
E1500709000000,141037
E1500711100000,78381
E1500711200000,47559
E1500716200000,277685
E1500720000000,314385
E1500725500000,48999
E1500729000000,299687
E1500729400000,209415
E1500736500000,319341
E1500737700000,335778
E1500738700000,77949
E1500750300000,274870
E1500760000000,345887
E1500781600000,153158
E1500793000000,30239
E1500803400000,97614
E1500817500000,328425
E1500818800000,364000
E1500819500000,12244
E1500819800000,319999
E1500822100000,336803
E1500822900000,356191
E1500824800000,214251
E1500836300000,336652
E1500841200000,79854
E1500841300000,27567
E1500841800000,51548
E1500841900000,102292
E1500842100000,57703
E1500842400000,187662
E1500844300000,254528
E1500846700000,298986
E1500881500000,56891
E1500882100000,79995
E1500882900000,41201
E1500883000000,37707
E1500898500000,81401
E1500901100000,289174
E1500904100000,225160
E1500917600000,8915
E1500918500000,133250
E1500922300000,282983
E1500933600000,15159
E1600010300000,73680
E1600042700000,33870
E1600046000000,287628
E1600061400000,220447
E1600072600000,302634
E1600077500000,253450
E1600079200000,44009
E1600086900000,157827
E1600090500000,14336
E1600090800000,27573
E1600105700000,329682
E1600107200000,169817
E1600108200000,214093
E1600111000000,264730
E1600113800000,217337
E1600114400000,152780
E1600114700000,110377
E1600114900000,52620
E1600118600000,326059
E1600119400000,159942
E1600119900000,208355
E1600120300000,79316
E1600129200000,152601
E1600129500000,168672
E1600129700000,196327
E1600130000000,77951
E1600132600000,38321
E1600133100000,63418
E1600133200000,139808
E1600134200000,40522
E1600134300000,160075
E1600135000000,44411
E1600136400000,52799
E1600137600000,253022
E1600139100000,329712
E1600140100000,122088
E1600140400000,84169
E1600140800000,77805
E1600149200000,85449
E1600149500000,151960
E1600157900000,84354
E1600158900000,79000
E1600159300000,72057
E1600159400000,74879
E1600159700000,235450
E1600159800000,97434
E1600159900000,140447
E1600161000000,51276
E1600161400000,88599
E1600161500000,72976
E1600171500000,134411
E1600177300000,55741
E1600177700000,84404
E1600178000000,48034
E1600178200000,75232
E1600178900000,90130
E1600179600000,123243
E1600179700000,86467
E1600180200000,57395
E1600180700000,155716
E1600181000000,3397
E1600181100000,15048
E1600181400000,36940
E1600186300000,61012
E1600186700000,78480
E1600187100000,89455
E1600188300000,82390
E1600189800000,60098
E1600190600000,136786
E1600190700000,61672
E1600190800000,54662
E1600191600000,59490
E1600191900000,58857
E1600192600000,47088
E1600193900000,298614
E1600194600000,399276
E1600195400000,94219
E1600195900000,64688
E1600196200000,72197
E1600196400000,81342
E1600196800000,57399
E1600197000000,86549
E1600202000000,1771
E1600202200000,62043
E1600203200000,51162
E1600203300000,42757
E1600203400000,72985
E1600203700000,42892
E1600207500000,85437
E1600208000000,75491
E1600208300000,52520
E1600208500000,72570
E1600209500000,58574
E1600211600000,56958
E1600212500000,73132
E1600213500000,57302
E1600213700000,142084
E1600214000000,63492
E1600214100000,305883
E1600214300000,67913
E1600217800000,78570
E1600218100000,52264
E1600218700000,34989
E1600218800000,52322
E1600218900000,51403
E1600220900000,56180
E1600221100000,57586
E1600221200000,57389
E1600221400000,47383
E1600221600000,41110
E1600227400000,282454
E1600239200000,334924
E1600240000000,300942
E1600240500000,4630
E1600241500000,8453
E1600241900000,109455
E1600244400000,11368
E1600245300000,37003
E1600246800000,22136
E1600247400000,48138
E1600251900000,354430
E1600252000000,345911
E1600258200000,354275
E1600278500000,369778
E1600285900000,294458
E1600290700000,96574
E1600309600000,89876
E1600312100000,352157
E1600346200000,288587
E1600346400000,330348
E1600349900000,323677
E1600354900000,285023
E1600380600000,17654
E1600412700000,271969
E1600414300000,137868
E1600426500000,25774
E1600451700000,345259
E1600488900000,359641
E1600489300000,356161
E1600489500000,358725
E1600496600000,43074
E1600508200000,244063
E1600539600000,393857
E1600541100000,24438
E1600541200000,7862
E1600542300000,47904
E1600544100000,6615
E1600544200000,25205
E1600544600000,1379
E1600544800000,4398
E1600546300000,10289
E1600549100000,12403
E1600549800000,6360
E1600549900000,17479
E1600550000000,73918
E1600550500000,103597
E1600550600000,39376
E1600551600000,18290
E1600553600000,12568
E1600555800000,7973
E1600556000000,25769
E1600556300000,61835
E1600556600000,22215
E1600557000000,38280
E1600561100000,14564
E1600561800000,69796
E1600562200000,17700
E1600562800000,44040
E1600563200000,26971
E1600563300000,17925
E1600563400000,13727
E1600563800000,134096
E1600573400000,381069
E1600576300000,10946
E1600576600000,244145
E1600577600000,33297
E1600582500000,13710
E1600582700000,15681
E1600583100000,28665
E1600583700000,61488
E1600584100000,15953
E1600584400000,18501
E1600584500000,19508
E1600587500000,39488
E1600588000000,1991
E1600588500000,43985
E1600590100000,4998
E1600593000000,30427
E1600593400000,58391
E1600593700000,25630
E1600593900000,57448
E1600594600000,676945
E1600594800000,15342
E1600594900000,21409
E1600597800000,424632
E1600599800000,41504
E1600601200000,38282
E1600601500000,89899
E1600606700000,98349
E1600607100000,37832
E1600607500000,229582
E1600608400000,12412
E1600608500000,57403
E1600608600000,13646
E1600608700000,14435
E1600609500000,12808
E1600609700000,10197
E1600611200000,8933
E1600611600000,15436
E1600611900000,8279
E1600612400000,15179
E1600613200000,16866
E1600613900000,79766
E1600614000000,43620
E1600619600000,35008
E1600621200000,51871
E1600621600000,190901
E1600621800000,22373
E1600622800000,16996
E1600625100000,414565
E1600625800000,36691
E1600626400000,18221
E1600627200000,17605
E1600627400000,46789
E1600628300000,147684
E1600628400000,177402
E1600628500000,51409
E1600628600000,22825
E1600629000000,20766
E1600629300000,16279
E1600629800000,41479
E1600631900000,13855
E1600632100000,54315
E1600632300000,12163
E1600632900000,14201
E1600633300000,14928
E1600634400000,12165
E1600634700000,182160
E1600635200000,41273
E1600635700000,8940
E1600636100000,13726
E1600636400000,125556
E1600636600000,43552
E1600636800000,13196
E1600637600000,5817
E1600638200000,49538
E1600639000000,265291
E1600639100000,14804
E1600639400000,10523
E1600639600000,26823
E1600639700000,15712
E1600640400000,22824
E1600640700000,60080
E1600660700000,380620
E1600683600000,68730
E1600723600000,293670
E1600736500000,375315
E1600750200000,351454
E1600763400000,290098
E1600764200000,408539
E1600784200000,376866
E1600795300000,321612
E1700035700000,364002
E1700053100000,377287
E1700055000000,393184
E1700057500000,395992
E1700064200000,111237
E1700076600000,314095
E1700079100000,339988
E1700085700000,302314
E1700147400000,330298
E1700165300000,354859
E1700170800000,390518
E1700172900000,365961
E1700215100000,341013
E1700219600000,242452
E1700229800000,260514
E1700236500000,395450
E1700239200000,19995
E1700239300000,48502
E1700269900000,330666
E1700279900000,439154
E1700280200000,382589
E1700295000000,354288
E1700300300000,392011
E1700341600000,408293
E1700354100000,271826
E1700360800000,436354
E1700370700000,427900
E1700393600000,447832
E1700401100000,381283
E1700440500000,437109
E1700451500000,406997
E1700452900000,457193
E1700467600000,453270
E1700468200000,447330
E1700468700000,426259
E1700482600000,141052
E1700482700000,371638
E1700484800000,436339
E1700496900000,396371
E1700512400000,284054
E1700515800000,452000
E1700534300000,407449
E1700587400000,446131
E1700601800000,451985
E1700606200000,361744
E1800027900000,404374
E1800037800000,332794
E1800045100000,399035
E1800060200000,451679
E1800062700000,436245
E1800076300000,370567
E1800085100000,333339
E1800086000000,434374
E1800094600000,420329
E1800095100000,470643
E1800095300000,475208
E1800119400000,440342
E1800127100000,1040
E1800133800000,490862
E1800137700000,396930
E1800137800000,429070
E1800158300000,444428
E1800163500000,435352
E1800176000000,471514
E1800176700000,403450
E1800177300000,315865
E1800184400000,378697
E1800198900000,467938
E1800211700000,474335
E1800215200000,446894
E1800216600000,432616
E1800224300000,413043
E1800224400000,453362
E1800230700000,797
E1800243800000,415401
E1800243900000,482712
E1800253000000,489999
E1800253200000,346910
E1800260700000,468287
E1800279800000,452187
E1800281700000,502897
E1800301500000,462927
E1800319500000,464502
E1800341000000,492344
E1800341100000,447682
E1800413200000,486947
E1800428100000,340613
E1800447000000,518490
E1800452800000,354279
E1800455800000,407890
E1800466600000,460071
E1800475300000,455605
E1800476100000,425765
E1800479300000,477654
E1800480600000,450465
E1800483600000,535683
E1800490400000,499556
E1800494700000,505192
E1800498300000,418272
E1800504300000,507505
E1800532600000,339380
E1800535400000,508763
E1800537900000,567604
E1800547800000,517288
E1800567400000,440472
E1800581700000,449757
E1800586300000,537856
E1800599600000,532671
E1800601100000,526051
E1800609300000,467263
E1900000900000,393775
E1900017600000,424585
E1900053200000,458723
E1900084300000,471506
E1900091500000,470836
E1900097800000,493099
E1900102100000,517839
E1900126900000,522887
E1900192700000,382509
E1900200900000,448194
E1900227600000,552095
E1900267600000,483465
E1900275200000,569814
E1900282600000,434221
E1900314200000,458186
E1900348700000,575094
E1900357300000,475557
E1900366500000,482948
E1900368700000,449479
E1900410800000,583268
E1900442200000,517940
E1900443600000,11659
E1900447600000,440137
E1900483800000,564145
E1900498900000,595875
E1900534700000,525661
E1900540900000,398978
E1900546000000,621721
E1900576100000,554241
E1900582800000,575426
E1900592300000,530743
E1900604900000,555561
E2000031600000,11659
